Time,T1,T2,T3,T4,T5,T6,T7,T8,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
7/21/2022 22:20:08.731,27.995183,27.989741,31.965249,31.996884,28.002657,28.002018,28.019409,28.201877,27.003068,28.046487,27.996166,28.048946,27.017427,27.007756,27.015247,27.006051
7/21/2022 22:25:08.142,28.02295,28.016885,31.965413,32.030814,27.990823,28.015426,27.992036,28.176733,27.043013,28.017557,28.018426,28.032997,27.024835,27.019836,27.023737,27.01582
7/21/2022 22:30:06.485,28.009246,28.06119,32.016176,31.964904,28.059338,28.030719,28.035391,28.153277,27.047931,28.006378,28.033161,27.995101,27.007936,27.019492,27.028114,27.014689
7/21/2022 22:35:07.073,27.999494,28.039521,31.990803,31.962102,28.058715,28.017803,28.008197,28.200861,27.034506,28.02349,28.005476,28.050126,27.008461,27.002658,27.012837,27.005379
7/21/2022 22:40:06.701,28.011279,28.018081,31.976395,32.010292,28.02231,28.005985,28.002165,28.181011,27.022623,28.007493,27.995101,28.007017,27.00769,27.004838,27.000134,27.012919
7/21/2022 22:45:09.590,27.986299,27.998068,32.033207,32.018045,27.986413,27.998248,28.032096,28.157735,27.013542,28.033653,28.020229,28.020835,27.014624,27.019803,26.99879,27.009362
7/21/2022 22:50:11.470,28.009935,28.017393,31.982607,31.955529,28.029293,28.01005,27.992331,28.194107,26.997134,28.029604,28.011738,27.997559,27.00851,27.009657,27.01646,27.011706
7/21/2022 22:55:10.993,27.997248,28.054896,31.976411,31.980624,28.05547,28.006083,28.023802,28.195271,27.001232,27.992462,27.984873,28.040406,27.00728,26.998282,27.033179,27.012263
7/21/2022 23:00:09.013,28.005968,28.040357,32.02052,32.021209,28.03603,27.999477,28.037079,28.173913,27.040538,28.033833,28.025982,28.008853,27.02295,27.021279,27.026737,27.009608
7/21/2022 23:05:08.624,28.001772,28.011967,31.970199,32.006145,27.995101,28.013967,28.002739,28.19019,27.038653,28.018786,28.036817,28.008001,27.015869,27.027442,27.017295,27.010296
7/21/2022 23:10:07.234,28.005673,27.983463,31.991934,31.968609,28.003985,28.003444,28.044275,28.261787,27.027917,28.003411,28.010984,28.023589,27.009313,27.022819,27.01405,27.00692
7/21/2022 23:15:07.192,27.996789,28.039685,32.022372,31.997212,28.069534,28.00369,27.994724,28.257607,27.01941,28.024654,27.98802,27.983135,27.007641,27.014165,27.007248,27.013886
7/21/2022 23:20:07.430,28.017786,28.064338,31.967871,32.023225,28.050339,28.016983,28.023982,28.237593,27.016492,27.997101,28.030276,28.046569,27.030376,27.00333,27.005576,27.00828
