Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Untitled 6,Untitled 7,Untitled 8,Untitled 9,Untitled 10,Untitled 11,Untitled 12,Untitled 13,Untitled 14,Untitled 15
4/26/2022 23:35:09.114,27.993691,28.038128,28.048028,28.032719,28.026211,28.013967,28.024933,28.017573,27.056766,27.009526,26.992414,27.081713,26.994446,27.047505,26.982693,26.990873
4/26/2022 23:40:09.004,28.009017,27.982709,28.012246,28.034194,27.957876,28.034079,28.020196,27.979283,27.060503,26.981349,27.0309,27.053684,26.992266,27.032277,27.042899,27.062568
4/26/2022 23:45:11.776,28.007788,28.022605,27.977562,28.002247,27.985659,28.001788,27.984758,28.008509,27.033343,27.029409,27.032441,27.002527,27.061552,26.983546,27.064027,27.074288
4/26/2022 23:50:10.156,27.999412,28.033391,28.025966,27.987462,28.04893,27.976333,28.047323,28.040128,27.003019,27.068059,27.012821,26.984267,27.060913,27.017279,27.028884,27.034605
4/26/2022 23:55:05.928,28.008607,27.996642,28.037653,28.049159,28.054093,28.027588,27.986905,27.997461,26.983169,27.042079,26.98907,27.086991,27.030245,27.042095,27.001658,27.010509
4/27/2022 00:00:09.579,27.997379,28.007706,27.996494,28.032915,28.00505,28.02708,28.038407,27.977283,27.052193,26.99697,27.046554,27.07178,26.986775,27.00074,26.982677,26.98212
4/27/2022 00:05:06.740,28.008542,28.043734,27.979267,27.992937,27.975038,27.979332,28.011902,28.036063,27.067961,26.975104,27.032326,27.031933,26.997642,26.97476,27.059372,27.048177
4/27/2022 00:10:07.154,27.98938,27.990462,28.052044,28.008935,28.018016,28.016852,27.987184,28.032276,27.043538,27.052176,26.996265,26.994446,27.059667,27.053897,27.052963,27.065846
4/27/2022 00:15:10.920,28.011099,28.013656,28.034096,28.043373,28.048799,28.029031,28.052372,27.988266,27.006559,27.07278,27.020443,27.033211,27.053635,27.027491,27.022492,27.052193
4/27/2022 00:20:07.577,27.991642,28.038112,27.992888,28.018622,28.026113,28.002575,27.976726,27.993675,26.978907,27.032867,27.0458,27.075566,27.018328,26.983906,26.999855,27.029048
4/27/2022 00:25:12.094,28.003673,27.994839,27.986069,27.978365,27.972579,27.981709,28.024163,28.04339,27.055258,26.996823,27.010247,27.044866,26.982349,27.016902,27.018459,26.996233
4/27/2022 00:30:08.642,27.99869,28.015328,28.062174,28.031047,27.99097,28.040111,28.014311,28.013082,27.062076,26.98966,26.989479,27.00987,27.018885,27.038752,27.059946,27.006035
4/27/2022 00:35:10.755,28.016852,28.047274,28.027408,28.045029,28.051831,28.027637,27.987676,27.981512,27.029261,27.059388,27.041522,26.991873,27.064076,27.000347,27.036916,27.08468
4/27/2022 00:40:06.976,27.986299,27.991937,27.989233,28.013115,28.034899,27.9743,28.03803,28.004641,27.005215,27.058339,27.027491,27.086975,27.036834,26.987922,27.007395,27.057503
4/27/2022 00:45:08.270,28.025408,28.020786,28.001297,27.978136,27.99197,28.007214,27.971465,28.036243,26.980186,27.026278,26.994561,27.066715,27.012575,27.044767,26.979645,27.035014
4/27/2022 00:50:08.940,27.990118,28.029703,28.056453,28.040455,27.974169,28.047864,28.049225,28.011377,27.054045,26.985955,27.015558,27.025426,26.981956,27.024131,27.055077,27.004019
4/27/2022 00:55:08.036,28.003051,27.987758,28.027359,28.038751,28.022163,28.008656,28.01164,27.970334,27.070534,27.000412,27.04403,26.988299,27.050701,26.973203,27.057241,26.9932
4/27/2022 01:00:06.124,27.995084,28.027326,27.984496,28.003428,28.056076,27.982676,27.992478,28.027605,27.035309,27.062748,27.013771,27.058126,27.058175,27.022492,27.032097,27.05811
4/27/2022 01:05:06.552,28.008296,28.031227,28.000149,27.989446,28.021589,28.029719,28.051585,28.03126,27.00851,27.050553,26.989922,27.059454,27.028605,27.039407,27.004707,27.072911
4/27/2022 01:10:10.029,28.017426,27.980775,28.041554,28.041357,27.968514,28.028703,27.97989,27.989626,26.978022,27.014066,27.045226,27.030605,26.993708,26.987971,27.00315,27.059405
