Colony,Species,Treatment,Puck,Ft,Fm,fvfmraw,fvfm,max_temp,problem
B,Pclivosa,Variable,P96,0.1452,0.2864,0.493,0.493,33.051499,none
B,Pclivosa,Variable,P43,0.1554,0.3172,0.51,0.51,33.051499,none
C,Pclivosa,Variable,P94,0.2229,0.2849,0.218,0.218,36.242635,none
A,Pclivosa,Variable,P11,0.1359,0.2361,0.424,0.424,35.166187,none
C,Pclivosa,Variable,P145,0.1867,0.3485,0.464,0.464,34.194577,none
A,Pclivosa,Variable,P10,0.1466,0.3035,0.517,0.517,34.194577,none
C,Pclivosa,Variable,P107,0.1515,0.3289,0.539,0.539,30.058009,none
B,Pclivosa,Variable,P78,0.1574,0.3314,0.525,0.525,32.028421,none
B,Pclivosa,Variable,P65,0.1574,0.3035,0.481,0.481,30.058009,none
C,Pclivosa,Variable,P140,0.1168,0.1784,0.345,0.345,35.166187,none
C,Pclivosa,Variable,P39,0.1935,0.3177,0.391,0.391,32.028421,none
C,Pclivosa,Variable,P18,0.2004,0.3148,0.363,0.363,28.062485,none
A,Pclivosa,Variable,P102,0.1623,0.2243,0.277,0.277,35.166187,none
B,Pclivosa,Variable,P59,0.1608,0.194,0.171,0.171,37.237979,none
A,Pclivosa,Variable,P150,0.1256,0.2155,0.417,0.417,33.051499,none
C,Pclivosa,Variable,P63,0.2102,0.2703,0.222,0.222,36.242635,none
A,Pclivosa,Variable,P8,0.1417,0.2454,0.422,0.422,33.051499,none
B,Pclivosa,Variable,P6,0.1794,0.2361,0.24,0.24,36.242635,none
C,Pclivosa,Variable,P71,0.1584,0.1867,0.152,0.152,37.237979,none
B,Pclivosa,Variable,P112,0.1158,0.2131,0.456,0.456,30.058009,none
B,Pclivosa,Variable,P109,0.1549,0.2688,0.424,0.424,28.062485,none
A,Pclivosa,Variable,P87,0.1149,0.1911,0.399,0.399,34.194577,none
A,Pclivosa,Variable,P125,0.1623,0.2561,0.366,0.366,28.062485,none
B,Pclivosa,Variable,P118,0.1515,0.1935,0.217,0.217,37.237979,none
B,Pclivosa,Variable,P14,0.1466,0.194,0.244,0.244,37.237979,none
A,Pclivosa,Variable,P128,0.1711,0.2141,0.201,0.201,36.242635,none
A,Pclivosa,Variable,P77,0.1457,0.2219,0.344,0.344,34.194577,none
B,Pclivosa,Variable,P45,0.1613,0.2981,0.459,0.459,32.028421,none
B,Pclivosa,Variable,P138,0.1427,0.2595,0.45,0.45,32.028421,none
A,Pclivosa,Variable,P100,0.1364,0.239,0.429,0.429,32.028421,none
A,Pclivosa,Variable,P98,0.1466,0.2566,0.429,0.429,33.051499,none
A,Pclivosa,Variable,P119,0.1657,0.2708,0.388,0.388,28.062485,none
C,Pclivosa,Variable,P67,0.1422,0.24,0.407,0.407,32.028421,none
B,Pclivosa,Variable,P105,0.1334,0.2405,0.445,0.445,28.062485,none
C,Pclivosa,Variable,P40,0.2014,0.3568,0.436,0.436,30.058009,none
B,Pclivosa,Variable,P88,0.1447,0.2879,0.497,0.497,33.051499,none
A,Pclivosa,Variable,P42,0.1764,0.2791,0.368,0.368,30.058009,none
C,Pclivosa,Variable,P104,0.1862,0.3338,0.442,0.442,33.051499,none
C,Pclivosa,Variable,P137,0.1598,0.1877,0.148,0.148,37.237979,none
B,Pclivosa,Control,P129,0.151,0.3025,0.501,0.501,33.051499,none
B,Pclivosa,Control,P93,0.1843,0.3441,0.464,0.464,30.058009,none
B,Pclivosa,Control,P139,0.1735,0.3133,0.446,0.446,35.166187,none
A,Pclivosa,Control,P69,0.1383,0.262,0.472,0.472,33.051499,none
A,Pclivosa,Control,P97,0.1481,0.2805,0.472,0.472,30.058009,none
C,Pclivosa,Control,P81,0.1701,0.2918,0.417,0.417,34.194577,none
B,Pclivosa,Variable,P149,0.1564,0.2923,0.465,0.465,34.194577,none
A,Pclivosa,Variable,P117,0.1354,0.1613,0.161,0.161,37.237979,none
A,Pclivosa,Variable,P130,0.1393,0.2243,0.379,0.379,34.194577,none
B,Pclivosa,Variable,P113,0.1628,0.2195,0.258,0.258,37.237979,none
C,Pclivosa,Variable,P136,0.2077,0.3416,0.392,0.392,33.051499,none
B,Pclivosa,Variable,P92,0.15,0.2644,0.433,0.433,35.166187,none
C,Pclivosa,Variable,P23,0.1901,0.3196,0.405,0.405,30.058009,none
B,Pclivosa,Control,P84,0.2009,0.2972,0.324,0.324,36.242635,none
A,Pclivosa,Control,P4,0.1466,0.2761,0.469,0.469,32.028421,none
B,Pclivosa,Control,P56,0.2317,0.3412,0.321,0.321,36.242635,none
B,Pclivosa,Control,P27,0.1579,0.3172,0.502,0.502,34.194577,none
C,Pclivosa,Control,P134,0.1676,0.3328,0.496,0.496,33.051499,none
C,Pclivosa,Control,P64,0.1642,0.3138,0.477,0.477,30.058009,none
B,Pclivosa,Control,P20,0.1657,0.2962,0.441,0.441,35.166187,none
