Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Pseudodiploria clivosa,22,C,variable,2,7.5301,2022-03-17T00:00:00Z,1899-12-31T03:43:00Z,35.5,28.3,8.0407,2022-04-21T00:00:00Z,NA,36.2,28.1,1.0225908425006873,11.567100280112788,1.0231804952054604,12.355260128587009,6.81380665324824
Pseudodiploria clivosa,23,C,variable,3,11.5207,2022-03-18T00:00:00Z,1899-12-31T09:05:00Z,35.2,26.7,12.0683,2022-04-21T00:00:00Z,1899-12-31T12:58:00Z,36.6,28.4,1.0228844940118533,17.69984612573844,1.0233805950161192,18.545976668216564,4.78044010364426
Pseudodiploria clivosa,27,B,control,4,3.7882,2022-03-18T00:00:00Z,1899-12-31T10:44:00Z,35.2,27.9,3.8994,2022-04-21T00:00:00Z,1899-12-31T01:27:00Z,36.5,28.3,1.0224977745142552,5.818827287173169,1.02333893488439,5.9922773947803,2.980843029822829
Pseudodiploria clivosa,30,A,control,1,4.8434,2022-03-16T00:00:00Z,1899-12-31T02:54:00Z,35.3,28,5.0732,2022-04-21T00:00:00Z,1899-12-31T10:42:00Z,36.1,28.1,1.0225398803652224,7.439821076163411,1.0231056577283582,7.795123028312241,4.775678722801397
Pseudodiploria clivosa,31,C,variable,2,8.9449,2022-03-17T00:00:00Z,1899-12-31T03:57:00Z,35.5,28.1,9.3768,2022-04-21T00:00:00Z,1899-12-31T12:05:00Z,37,28.4,1.0226567056370548,13.740870391532578,1.0236798972219534,14.412072746839625,4.884714986618725
Pseudodiploria clivosa,32,B,control,1,8.3464,2022-03-16T00:00:00Z,1899-12-31T02:39:00Z,35.3,28.1,8.5181,2022-04-21T00:00:00Z,1899-12-31T11:10:00Z,36.3,28.1,1.0225070826791747,12.820468048892295,1.0232553361457744,13.089341993778403,2.0972240940091047
Pseudodiploria clivosa,34,A,control,4,6.4236,2022-03-18T00:00:00Z,1899-12-31T10:48:00Z,35.2,27.9,6.7378,2022-04-21T00:00:00Z,1899-12-31T01:39:00Z,36.4,28.4,1.0224977745142552,9.866907492182454,1.0232309647364894,10.353510905043484,4.931670974381437
Pseudodiploria clivosa,36,C,control,4,9.4801,2022-03-18T00:00:00Z,1899-12-31T11:00:00Z,35.2,27.9,9.9186,2022-04-21T00:00:00Z,1899-12-31T01:21:00Z,36.5,28.3,1.0224977745142552,14.561814203349973,1.02333893488439,15.24208918496894,4.671636185705952
Pseudodiploria clivosa,44,C,control,4,5.6028,2022-03-18T00:00:00Z,1899-12-31T10:57:00Z,35.2,27.9,6.0148,2022-04-21T00:00:00Z,1899-12-31T01:44:00Z,36.4,28.4,1.0224977745142552,8.606125739024824,1.0232309647364894,9.24252684728777,7.39474564468841
Pseudodiploria clivosa,46,C,control,1,5.8583,2022-03-16T00:00:00Z,1899-12-31T02:56:00Z,35.3,28,6.2503,2022-04-21T00:00:00Z,1899-12-31T11:24:00Z,36.2,28.2,1.0225398803652224,8.99878263420079,1.023147519707664,9.603983102663722,6.725359340971371
Pseudodiploria clivosa,48,C,variable,2,5.4308,2022-03-17T00:00:00Z,1899-12-31T04:36:00Z,35.4,27.8,5.8386,2022-04-21T00:00:00Z,1899-12-31T11:30:00Z,36.2,28.2,1.0226800981139443,8.342724251063052,1.023147519707664,8.971379892679135,7.535376007854727
Pseudodiploria clivosa,51,C,variable,2,6.2912,2022-03-17T00:00:00Z,1899-12-31T03:49:00Z,35.5,28.2,6.7506,2022-04-21T00:00:00Z,1899-12-31T11:38:00Z,36.2,28,1.0226238109263377,9.664174327851018,1.023213397079873,10.373084208641531,7.335441774342972
Pseudodiploria clivosa,53,A,variable,2,5.1579,2022-03-17T00:00:00Z,1899-12-31T04:07:00Z,35.5,28,5.364,2022-04-21T00:00:00Z,NA,36.2,28.1,1.0226895265037685,7.923537992373878,1.0231804952054604,8.242269370793677,4.022589135390866
Pseudodiploria clivosa,54,A,control,4,9.0654,2022-03-18T00:00:00Z,1899-12-31T10:22:00Z,35.1,27.2,9.3834,2022-04-21T00:00:00Z,1899-12-31T01:23:00Z,36.5,28.3,1.0226497653964275,13.92592798014394,1.02333893488439,14.419637817659503,3.5452562889849064
Pseudodiploria clivosa,59,B,variable,3,8.6899,2022-03-18T00:00:00Z,1899-12-31T09:35:00Z,35.2,26.5,8.8315,2022-04-21T00:00:00Z,1899-12-31T12:42:00Z,36.6,28.4,1.0229478926890634,13.351185792139779,1.0233805950161192,13.571819804392879,1.6525424459525822
Pseudodiploria clivosa,61,A,control,1,8.6556,2022-03-16T00:00:00Z,1899-12-31T02:04:00Z,35.4,28.3,8.9469,2022-04-21T00:00:00Z,1899-12-31T10:55:00Z,36.2,28,1.0225160523690926,13.295476500076562,1.023213397079873,13.74795530860885,3.403253794850315
Pseudodiploria clivosa,62,C,variable,2,7.0013,2022-03-17T00:00:00Z,1899-12-31T03:35:00Z,35.5,28.3,7.4007,2022-04-21T00:00:00Z,1899-12-31T11:48:00Z,36.2,27.9,1.0225908425006873,10.754802617648327,1.0232462252041143,11.372234468145335,5.7409872821265875
Pseudodiploria clivosa,63,C,variable,3,7.4639,2022-03-18T00:00:00Z,1899-12-31T08:52:00Z,35.2,26.8,7.9163,2022-04-21T00:00:00Z,1899-12-31T12:31:00Z,36.7,28.4,1.022852680967612,11.466983584202394,1.0234554153632256,12.165862360055403,6.094704598826029
Pseudodiploria clivosa,65,B,variable,2,5.6601,2022-03-17T00:00:00Z,1899-12-31T04:37:00Z,35.4,27.8,5.7878,2022-04-21T00:00:00Z,1899-12-31T11:39:00Z,36.1,28.2,1.0226800981139443,8.69497192558039,1.0230726937598493,8.892973499569965,2.2771962426590457
Pseudodiploria clivosa,68,C,control,1,5.6662,2022-03-16T00:00:00Z,1899-12-31T02:25:00Z,35.3,28.2,6.0518,2022-04-21T00:00:00Z,1899-12-31T10:46:00Z,36.1,28.1,1.0224742110855618,8.703403170998847,1.0231056577283582,9.29877109964914,6.840633680330432
Pseudodiploria clivosa,72,C,control,1,5.8712,2022-03-16T00:00:00Z,1899-12-31T02:36:00Z,35.3,28.1,6.3614,2022-04-21T00:00:00Z,1899-12-31T11:18:00Z,36.2,28.1,1.0225070826791747,9.018442922536238,1.0231804952054604,9.774864350366684,8.3874947629842
Pseudodiploria clivosa,73,B,control,4,5.1801,2022-03-18T00:00:00Z,1899-12-31T10:51:00Z,35.2,27.9,5.746,2022-04-21T00:00:00Z,1899-12-31T01:29:00Z,36.5,28.3,1.0224977745142552,7.9568415686304155,1.02333893488439,8.82998048684608,10.973436013329541
Pseudodiploria clivosa,74,C,variable,2,7.0264,2022-03-17T00:00:00Z,1899-12-31T04:17:00Z,35.4,27.9,7.0954,2022-04-21T00:00:00Z,1899-12-31T12:12:00Z,36.9,28.4,1.0226474369752447,10.79367936431834,1.023605066467161,10.905149627875826,1.0327364728470934
