term,name,delta_rank_variable,pval_variable,level_variable,nseqs_variable,padj_variable,delta_rank_Dixon,pval_Dixon,level_Dixon,nseqs_Dixon,padj_Dixon
GO:1901617,organic hydroxy compound biosynthetic process,-213,0.291016397314134,2,83,0.730955055806722,53,0.806515413576484,4,89,0.883852508029024
GO:1901654,response to ketone,43,0.791403360754239,2,128,0.957027102246315,-58,0.819515509030829,2,65,0.891123660305367
GO:1901657,glycosyl compound metabolic process,-132,0.504212832812008,3,86,0.849412257993873,-21,0.820635666981681,2,538,0.891400223083604
GO:1901658,glycosyl compound catabolic process,-286,0.42504526157657,4,26,0.822206348191557,115,0.238146739738128,2,465,0.384606126181259
GO:1901701,cellular response to oxygen-containing compound,116,0.185577181747745,2,468,0.629554431861909,389,1.6671632709163e-4,3,410,0.00102313581557603
GO:1901879,regulation of protein depolymerization,594,0.0516193853394565,4,36,0.393823422415014,-365,0.205156033541024,2,50,0.343203521383042
GO:1901880;GO:0043242,negative regulation of protein complex disassembly,522,0.124536375582255,2,29,0.544347699359937,-339,0.253522080053827,6,47,0.401050972550676
GO:1902105,regulation of leukocyte differentiation,-163,0.352814390049547,2,110,0.774487926648,646,0.00254811686120588,2,91,0.0105699662390762
GO:1902532,negative regulation of intracellular signal transduction,-91,0.396417289925105,3,303,0.807252987176368,623,2.65274849402108e-4,2,144,0.00151973315258497
GO:1902533,positive regulation of intracellular signal transduction,87,0.335684255180685,2,437,0.763002629597612,565,9.88436141366025e-7,3,324,1.27982483043925e-5
GO:1902692,regulation of neuroblast proliferation,182,0.487010169034111,4,49,0.842394971537605,-529,0.154293672307431,2,30,0.278949012081231
GO:1902850,microtubule cytoskeleton organization involved in mitosis,627,1.20912924339285e-4,2,128,0.00955913046769275,103,0.407494392371282,4,278,0.556489838384337
GO:1902903,regulation of supramolecular fiber organization,-102,0.47357133285912,2,168,0.839003867951153,251,0.179429069689072,3,120,0.310603644593138
GO:1903034,regulation of response to wounding,-133,0.4344111906462,2,117,0.823586171555445,199,0.46169954053444,2,57,0.610288846258012
GO:1903035,negative regulation of response to wounding,87,0.730294940210384,2,53,0.940562580230593,15,0.968017265397864,3,30,0.980270648504166
GO:1903305,regulation of regulated secretory pathway,-246,0.320753229205707,2,55,0.753859916121125,427,0.228064071758627,2,33,0.370960180039192
GO:1903311,regulation of mRNA metabolic process,7,0.962653264521844,3,161,0.99460390564236,68,0.737813473758418,2,100,0.83164919622055
GO:1903312,negative regulation of mRNA metabolic process,-10,0.971587528683921,4,46,0.994910287140505,603,0.0882935291794403,3,33,0.18588111406198
GO:1903429,regulation of cell maturation,-208,0.426149130302971,3,49,0.822549729571217,274,0.431583817121288,3,34,0.58097821535558
GO:1903510,mucopolysaccharide metabolic process,-104,0.671383682542272,2,56,0.924295797557729,-588,0.0219444837558286,3,63,0.061367844710432
GO:1903706,regulation of hemopoiesis,-110,0.413181152342735,2,190,0.816927577393845,575,0.00217284647262192,3,119,0.00927081161652019
GO:1903707,negative regulation of hemopoiesis,-35,0.887818037043173,5,55,0.983771527659235,-140,0.656302261908322,3,42,0.766484393469573
GO:1903725,regulation of phospholipid metabolic process,-688,0.0062822724246898104,2,53,0.135453739433529,849,0.0164080440793651,6,33,0.0488101178456545
GO:1903827,regulation of cellular protein localization,-147,0.174861160098145,3,297,0.619566799533625,154,0.34689343178561,5,157,0.49938386066823
