,AOI,Ft,Fm,fvfm,file,Tank,Puck,Colony,Date,Treatment_period,Treatment,CBASS_temp,Species
219,3,0.1848,0.3959,0.533,44,7,A124,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
220,4,0.1554,0.3035,0.488,44,7,A57,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
221,5,0.2067,0.4042,0.489,44,7,A119,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
222,6,0.1857,0.3539,0.475,44,7,A39,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
223,1,0.1598,0.306,0.478,45,7,A114,SI-C,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
224,2,0.1828,0.3627,0.496,45,7,A92,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
225,3,0.1505,0.3138,0.52,45,7,A81,BC-8b,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
226,4,0.1735,0.3363,0.484,45,7,A112,MB-B,4/6/22,Temp Treatment,Untreated,NA,Acervicornis
227,1,0.1452,0.3177,0.543,46,8,A74,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
228,2,0.1916,0.3798,0.495,46,8,A45,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
229,3,0.1427,0.3353,0.574,46,8,A77,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
230,4,0.1696,0.3211,0.472,46,8,A130,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
231,5,0.15,0.3495,0.571,46,8,A110,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
232,6,0.1584,0.325,0.513,46,8,A61,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
233,1,0.153,0.3441,0.555,47,8,A131,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
234,2,0.1931,0.3978,0.515,47,8,A8,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
235,3,0.1432,0.3524,0.594,47,8,A65,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
236,4,0.1378,0.3016,0.543,47,8,A62,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
237,5,0.1725,0.3578,0.518,47,8,A113,SI-C,4/6/22,Temp Treatment,Treated,NA,Acervicornis
238,6,0.1569,0.3543,0.557,47,8,A38,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
239,1,0.1549,0.35,0.557,48,8,A54,MB-B,4/6/22,Temp Treatment,Treated,NA,Acervicornis
240,2,0.1769,0.3807,0.535,48,8,A76,BC-8b,4/6/22,Temp Treatment,Treated,NA,Acervicornis
