Species,ID,Colony,Treatment,Treatment_Tank,CBASS_tank,Removed_Date,Reason_removed,mortality_date,CBASS_recovery_tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_salinity,bw_final_temp,tissue_sampled,tissue_sampling_date
Pseudodiploria clivosa,19,A,Treated,2,2,4/23/22,RTL,4/23/22,,6.0342,3/17/22,35.5,28.3,6.341,4/21/22,36.2,27.8,,
Pseudodiploria clivosa,53,A,Treated,2,2,4/25/22,dead,4/25/22,,5.1579,3/17/22,35.5,28,5.364,4/21/22,36.2,28.1,,
Pseudodiploria clivosa,101,A,Treated,2,2,4/23/22,RTL,4/23/22,,8.6172,3/17/22,35.4,27.8,,,,,Yes,4/20/22
Pseudodiploria clivosa,117,A,Treated,3,2,4/23/22,RTL,4/23/22,,6.0109,3/18/22,35.1,26.6,6.2472,4/21/22,36.6,28.5,,
Pseudodiploria clivosa,75,A,Treated,2,3,,,,3,5.7835,3/17/22,35.5,28.2,,,,,Yes,3/22/22
Pseudodiploria clivosa,100,A,Treated,3,3,7/4/22,paling,,3,3.1145,3/18/22,35.2,26.5,3.3352,4/21/22,36.7,28.4,,
Pseudodiploria clivosa,132,A,Treated,2,3,4/20/22,tissue sampling,4/20/22,,5.047,3/17/22,35.4,27.8,,,,,Yes,4/20/22
Pseudodiploria clivosa,8,A,Treated,3,4,6/20/22,RTL,6/20/22,4,8.9781,3/18/22,35.1,26.7,,,,,Yes,4/20/22
Pseudodiploria clivosa,98,A,Treated,3,4,6/16/22,dead,6/16/22,4,7.4001,3/18/22,35.1,26.6,7.5882,4/21/22,36.7,28.4,Yes,6/1/22
Pseudodiploria clivosa,150,A,Treated,3,4,,RTL,6/25/22,4,8.5102,3/18/22,35.2,26.7,8.7879,4/21/22,36.8,28.4,,
Pseudodiploria clivosa,11,A,Treated,2,5,4/25/22,dead,4/25/22,,7.0342,3/17/22,35.5,27.9,,,,,Yes,3/22/22
Pseudodiploria clivosa,25,A,Treated,2,5,4/25/22,dead,4/25/22,,5.1472,3/17/22,35.4,27.7,,,,,,
Pseudodiploria clivosa,102,A,Treated,3,5,4/25/22,dead,4/25/22,,7.7039,3/18/22,35.2,26.6,,,,,Yes,3/30/22
Pseudodiploria clivosa,42,A,Treated,3,6,6/1/22,tissue sampling,6/1/22,6,5.7905,3/18/22,35.2,26.6,,,,,Yes,3/30/22
Pseudodiploria clivosa,86,A,Treated,2,6,,,,6,5.9244,3/17/22,35.5,28,,,,,Yes,3/30/22
Pseudodiploria clivosa,121,A,Treated,2,6,6/23/22,RTL,,6,7.5155,3/17/22,35.5,28.3,,,,,Yes,3/30/22
Pseudodiploria clivosa,10,A,Treated,2,7,6/23/22,RTL,6/23/22,7,6.5437,3/17/22,35.4,27.8,,,,,Yes,6/1/22
Pseudodiploria clivosa,77,A,Treated,3,7,6/14/22,dead,6/14/22,7,4.5543,3/18/22,35.2,26.6,,,,,Yes,3/22/22
Pseudodiploria clivosa,87,A,Treated,3,7,,,,7,5.6749,3/18/22,35.2,26.8,5.962,4/21/22,36.5,28.4,Yes,4/22/22
Pseudodiploria clivosa,130,A,Treated,3,7,,,,7,5.0464,3/18/22,35.2,26.6,,,,,Yes,4/20/22
Pseudodiploria clivosa,21,A,Treated,2,8,,,,8,5.6475,3/17/22,35.5,28.1,5.8176,4/21/22,36.1,28.1,Yes,6/1/22
Pseudodiploria clivosa,119,A,Treated,3,8,,,,8,5.336,3/18/22,35.2,26.5,,,,,Yes,6/1/22
Pseudodiploria clivosa,125,A,Treated,3,8,,,,8,3.5175,3/18/22,35.2,26.6,3.6075,4/21/22,36.6,28.3,,
Pseudodiploria clivosa,54,A,Untreated,4,1,4/23/22,RTL,4/23/22,,9.0654,3/18/22,35.1,27.2,9.3834,4/21/22,36.5,28.3,,
Pseudodiploria clivosa,57,A,Untreated,1,2,4/23/22,RTL,4/23/22,,5.4588,3/16/22,35.3,27.9,,,,,Yes,3/30/22
