	Acer-005	Acer-009	Acer-019	Acer-021	Acer-022	Acer-029	Acer-030	Acer-034	Acer-038	Acer-041	Acer-042	Acer-043	Acer-045	Acer-055	Acer-056	Acer-057	Acer-059	Acer-063	Acer-064	Acer-068	Acer-069	Acer-072	Acer-074	Acer-078	Acer-079	Acer-082	Acer-083	Acer-089	Acer-091	Acer-094	Acer-095	Acer-096	Acer-097	Acer-102	Acer-106	Acer-108	Acer-110	Acer-112	Acer-113	Acer-114	Acer-123	Acer-124	Acer-137	Acer-139	Acer-141	Acer-143	Acer-146	Acer-150	
Acropora200	3	13	11	4	5	5	7	4	3	3	9	16	6	12	7	0	1	7	8	6	4	0	2	7	1	0	2	3	1	9	9	3	1	6	0	0	5	6	1	0	0	2	6	10	2	1	0	5	
Acropora201	10	29	24	19	19	24	25	10	6	10	38	25	6	37	24	8	26	25	29	12	11	8	18	12	8	8	35	1	15	55	19	15	20	27	6	5	11	15	15	2	6	9	38	42	13	11	9	22	
Acropora202	53	58	58	32	47	49	95	117	38	70	70	68	16	45	41	10	32	44	72	8	30	9	23	61	21	9	35	4	22	43	85	89	26	50	32	9	31	66	39	10	14	32	61	56	31	18	9	36	
Acropora203	37	45	49	15	35	37	71	76	37	56	66	50	19	38	34	15	28	47	50	16	19	6	17	37	23	8	23	18	21	34	52	80	20	23	45	13	22	55	44	16	17	15	42	57	34	16	11	24	
Acropora204	0	0	2	0	0	0	2	1	1	2	2	1	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	3	3	1	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	
Acropora205	5	6	7	4	3	3	4	3	2	6	7	5	1	5	4	5	2	1	10	0	1	4	3	5	1	1	2	0	0	1	2	8	2	1	1	1	4	9	7	1	6	0	4	1	6	1	3	0	
Acropora206	1	2	0	0	0	2	3	2	3	1	0	1	1	1	0	0	1	0	2	0	0	0	0	1	0	0	1	0	2	2	1	3	0	1	2	1	2	2	0	0	1	0	2	2	0	0	0	1	
Acropora207	5	1	2	0	0	0	0	2	0	0	1	3	0	0	3	0	0	4	1	0	0	0	0	4	2	0	0	0	0	1	5	5	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	1	
Acropora208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	
Acropora209	8	9	17	9	10	7	8	18	2	11	11	8	3	7	9	9	8	10	19	4	1	0	2	13	9	4	15	1	1	9	8	7	2	11	2	1	14	12	2	4	4	7	6	13	2	6	2	7	
Acropora21	2	18	5	5	5	7	4	6	4	3	10	1	2	7	5	3	4	4	5	6	4	2	2	0	2	2	6	0	2	7	6	6	1	3	3	1	4	3	5	6	5	3	3	8	5	2	6	6	
Acropora211	0	0	2	3	2	3	4	5	0	0	2	2	0	6	1	2	2	12	2	1	2	0	1	2	0	1	4	1	0	2	1	1	0	4	1	0	5	7	1	0	1	1	2	4	1	1	0	4	
